epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,121.763,1.27564,6.91641,0.97216,0,0,0,0,1.04664,11.8312,0.91113,1.08e-05,1.08e-05,1.08e-05
2,230.903,1.13322,7.51656,0.90436,0.00214,0.00337,0.0011,0.00066,0.86954,10.906,0.67725,2.40594e-05,2.40594e-05,2.40594e-05
3,344.395,1.01231,5.20453,0.66876,0.00195,0.00337,0.00102,0.00071,0.61581,9.95215,0.47339,3.70516e-05,3.70516e-05,3.70516e-05
4,456.25,0.75774,6.04506,0.59901,0.56628,0.00673,0.01053,0.00994,0.46131,9.18854,0.30884,4.97764e-05,4.97764e-05,4.97764e-05
5,557.931,0.75233,4.58071,0.4538,0.52536,0.02357,0.03424,0.03021,0.43292,8.0664,0.30981,6.22339e-05,6.22339e-05,6.22339e-05
6,658.622,0.6711,4.71,0.4307,0.65656,0.03364,0.05493,0.04806,0.432,7.32887,0.2793,7.44242e-05,7.44242e-05,7.44242e-05
7,761.9,0.59717,4.52277,0.43358,0.65673,0.06397,0.07435,0.06803,0.40357,6.20304,0.28833,8.63471e-05,8.63471e-05,8.63471e-05
8,863.448,0.53751,3.66916,0.36835,0.55181,0.06061,0.0745,0.06752,0.36283,5.4338,0.31006,9.80027e-05,9.80027e-05,9.80027e-05
9,967.718,0.48155,3.44286,0.37592,0.63718,0.06734,0.07241,0.0649,0.37008,4.35231,0.36719,0.000109391,0.000109391,0.000109391
10,1066.73,0.56831,2.68206,0.41091,0.51904,0.04818,0.07653,0.06731,0.42996,3.69457,0.36182,0.000120512,0.000120512,0.000120512
11,1162.15,0.3912,2.54992,0.28936,0.41859,0.06061,0.07923,0.07161,0.38467,3.14291,0.34229,0.000131366,0.000131366,0.000131366
12,1261.01,0.38132,2.28063,0.29857,0.3017,0.06734,0.14229,0.13102,0.3399,2.64438,0.33789,0.000141952,0.000141952,0.000141952
13,1360.36,0.3857,1.9993,0.28671,0.19239,0.06734,0.14976,0.13725,0.31772,2.46517,0.30371,0.000152271,0.000152271,0.000152271
14,1465.41,0.3745,1.74393,0.26626,0.04542,0.19327,0.16733,0.1475,0.34949,2.21317,0.32349,0.000162323,0.000162323,0.000162323
15,1567.1,0.3345,1.8186,0.26369,0.18914,0.07407,0.13736,0.12452,0.36659,1.8393,0.31348,0.000172108,0.000172108,0.000172108
16,1660.66,0.33919,1.47131,0.23016,0.1986,0.07407,0.15788,0.13998,0.35065,1.63677,0.29346,0.000181625,0.000181625,0.000181625
17,1758.58,0.32314,1.34206,0.21963,0.54519,0.08418,0.17889,0.15171,0.32335,1.47245,0.31348,0.000190875,0.000190875,0.000190875
18,1857.57,0.29765,1.37113,0.23743,0.31364,0.09091,0.16952,0.1462,0.29404,1.52498,0.2605,0.000199858,0.000199858,0.000199858
19,1958.44,0.33356,1.1766,0.2477,0.22939,0.18316,0.18604,0.16351,0.283,1.36778,0.24829,0.000208573,0.000208573,0.000208573
20,2063.19,0.30355,1.19073,0.22105,0.5023,0.19798,0.19952,0.1686,0.31188,1.18382,0.25366,0.000217021,0.000217021,0.000217021
