epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.62928,0.9643,4.36211,1.24912,0,0,0,0,0.52545,4.19204,0.98077,1.08e-05,1.08e-05,1.08e-05
2,8.50305,0.97294,4.30613,1.27399,0,0,0,0,0.53849,4.17931,0.99047,2.40594e-05,2.40594e-05,2.40594e-05
3,10.4636,0.92666,4.25304,1.22554,0,0,0,0,0.55837,4.17659,0.98741,3.70516e-05,3.70516e-05,3.70516e-05
4,12.1323,0.88068,4.21398,1.18934,0,0,0,0,0.57696,4.1747,0.99217,4.97764e-05,4.97764e-05,4.97764e-05
5,13.8046,0.90094,4.15715,1.24904,0,0,0,0,0.57897,4.17597,0.98925,6.22339e-05,6.22339e-05,6.22339e-05
6,15.4908,0.97815,4.10991,1.30904,0,0,0,0,0.58347,4.17574,0.98754,7.44242e-05,7.44242e-05,7.44242e-05
7,17.1635,0.9188,4.07797,1.2407,0,0,0,0,0.58353,4.1697,0.98506,8.63471e-05,8.63471e-05,8.63471e-05
8,18.794,0.89638,3.95947,1.26976,0,0,0,0,0.59615,4.15705,0.9896,9.80027e-05,9.80027e-05,9.80027e-05
9,20.4925,0.88975,3.94913,1.26347,0,0,0,0,0.61384,4.12555,1.0009,0.000109391,0.000109391,0.000109391
10,22.1549,0.87514,3.78863,1.2094,0.11111,0.00337,0.05724,0.04579,0.63602,4.09271,1.01149,0.000120512,0.000120512,0.000120512
11,23.7951,0.85014,3.76431,1.22153,0.11111,0.0202,0.06566,0.05859,0.67134,4.04709,1.01706,0.000131366,0.000131366,0.000131366
12,25.3804,0.92201,3.72177,1.27156,0.11111,0.0303,0.07071,0.05957,0.67686,3.98712,1.02545,0.000141952,0.000141952,0.000141952
13,26.8759,0.89543,3.63733,1.24258,0.1037,0.04714,0.07588,0.06565,0.68613,3.95539,1.02949,0.000152271,0.000152271,0.000152271
14,28.4629,0.92819,3.60622,1.25608,0.10526,0.06061,0.08312,0.07167,0.69967,3.89346,1.0465,0.000162323,0.000162323,0.000162323
15,30.1392,0.93824,3.535,1.25905,0.09179,0.06397,0.08122,0.06965,0.74972,3.839,1.08566,0.000172108,0.000172108,0.000172108
16,31.6704,0.88966,3.4371,1.26661,0.08889,0.06734,0.08163,0.07007,0.76543,3.79791,1.09385,0.000181625,0.000181625,0.000181625
17,33.2307,0.90253,3.28536,1.21469,0.08148,0.07407,0.08384,0.07453,0.76781,3.70297,1.09012,0.000190875,0.000190875,0.000190875
18,34.7623,0.84226,3.25235,1.21094,0.07018,0.08081,0.08577,0.07595,0.77228,3.63124,1.10233,0.000199858,0.000199858,0.000199858
19,36.2654,0.84184,3.17039,1.16831,0.06667,0.08081,0.08607,0.07619,0.78378,3.54119,1.1217,0.000208573,0.000208573,0.000208573
20,37.9307,0.88556,3.06814,1.20226,0.06481,0.09428,0.09293,0.08237,0.79334,3.37588,1.11981,0.000217021,0.000217021,0.000217021
21,39.4835,0.89112,3.00499,1.20067,0.06197,0.09764,0.09547,0.08344,0.81336,3.28333,1.13262,0.00021654,0.00021654,0.00021654
22,40.9708,0.89536,2.92787,1.21667,0.17191,0.11987,0.16277,0.14998,0.8186,3.20395,1.13937,0.000213867,0.000213867,0.000213867
